Roi,Source_Name,Cell_ID,Centroids_RAW_X,Centroids_RAW_Y,Centroids_RAW_Z,Centroids_TFOR_X,Centroids_TFOR_Y,Centroids_TFOR_Z,Longest_Extension,Major_Axis_Length,Major\Medium_Axis_Eccentricity,Major\Minor_Axis_Eccentricity,Medium_Axis_Length,Medium\Minor_Axis_Eccentricity,Minor_Axis_Length,Orientation_along_X,Orientation_along_Y,Orientation_along_Z,Roundness_(Smoothness),Sphericity,Surface_Area,Volume,X_Axis_Length,Y_Axis_Length,Y\X_Aspect_Ratio,Z_Axis_Length,Z\X_Aspect_Ratio,Z\Y_Aspect_Ratio,Roi Name
1441943,15999C80F3,21,91.30586319047664,38.33708014999485,8.849493627088847,-69.33540430914516,-5.069755207102325,-3.734711354425052,6.2703414819987415,11.106819744268416,0.7603512911717019,0.7794740512093249,6.957695256608168,0.26419451739684063,7.214013354433293,-0.6012100148684496,-0.6892535516512023,-0.4043217277838057,0.9018175403446872,0.8599889690405584,247.0248853033264,250.32882329999995,7.525332542343534,9.466301246824571,1.2579246423409989,8.721503165984457,1.1589525269362266,0.921321109330854,
1441944,15999C80F3,22,65.75242462767889,41.353831416232794,10.785659583484684,-93.43216839645227,3.078697041849773,-8.067889825587624,8.132168659861893,13.19892409231834,0.3757555462307314,0.8489699252116651,12.231691346819087,0.8214863642048497,6.9748548393215835,-0.015200030986444681,0.00915808257256591,0.9998425318927,0.8360668121283472,0.7797462801230091,382.2413722069856,348.00287579999986,11.705599383347066,9.526832849716039,0.8138697163401439,13.030379391617856,1.113174897319268,1.367755643157552,
1441945,15999C80F3,23,81.13896433161355,44.71707148577921,11.099902214606345,-77.70333173432309,3.1229808660087643,-7.197560889866425,8.557766934611664,15.464564943303788,0.7522885619510709,0.9583982061006404,10.188577424254207,0.9012775669679264,4.4141210328514315,-0.6950549036390752,0.0744458236917131,0.7150919523125246,0.8566421835462932,0.7460569447036338,305.8860332009278,251.36116019999997,11.982003633217488,8.108242231874497,0.6767017003229883,12.300528883326757,1.0265836382511373,1.5170401341701245,
1441946,15999C80F3,24,56.16149511327142,36.81458616439545,10.927052773196769,-103.83885079632459,1.326164692155948,-6.9542201114346405,10.962831556885293,17.510606494143993,0.8274160189113131,0.9110366554412336,9.833772202247822,0.6789209583090012,7.220067337652417,0.24981298451524944,0.4264504918644588,0.8693293108806035,0.8315494079649337,0.7595888066295042,402.0801679495195,404.54263349999985,10.736352429746448,11.519235229606428,1.07291888050274,15.047388556119285,1.4015363834768089,1.3062836426366995,
1441947,15999C80F3,25,62.80319674705367,38.305825269839175,11.209119985454306,-97.0436648834153,1.462623366996701,-6.482644016746822,8.970419190369444,15.558173014680603,0.8614553151595414,0.9214124549800768,7.9009595601958384,0.6438115719080467,6.045688387473898,0.002626162105280205,0.3905911477102722,0.920560513275998,0.8572460556210839,0.7254617746994474,319.25742806847154,283.24421819999986,8.571579157515345,10.924419645399956,1.274493234519301,14.055058378878098,1.6397280035097124,1.2865725443636165,
1441948,15999C80F3,26,106.99468645581591,41.52830629400021,8.811641010822738,-53.34595683747686,-5.42314534785512,-3.001760105724907,5.8816949993298095,9.633027600847752,0.3970834047149929,0.7045737035857574,8.841024429036679,0.6341604361375509,6.835893245075591,-0.73236497123789,-0.5807406969033203,-0.3555021685784352,0.906796210557682,0.8790156099502091,257.77438193796644,267.3401435999999,8.930836220236031,9.115716750866364,1.0207013683905009,7.395482703081851,0.8280840137147198,0.8112892167671816,
1441949,15999C80F3,27,127.90882885709844,48.456615759208404,9.385098171268714,-31.39780518790277,-3.4208548263447303,-3.0356625606857652,7.642697470666738,14.305173159302766,0.7090664367658447,0.8971832315097971,10.087173827942216,0.7795499085363355,6.318001618983773,-0.8303404053079182,-0.41746339873267785,-0.3691329327378461,0.8587091838211104,0.8019265434056081,313.58284672250585,316.30474889999994,12.882746388258509,9.052752391769848,0.7027036098467818,7.687061521879849,0.5966943142563086,0.8491408125630838,
1441950,15999C80F3,28,88.04205586118843,53.22385170366622,8.80969583482881,-68.88240167700765,7.221126523666726,-12.734656039461033,9.100109313432641,16.38928767501233,0.5952749195472349,0.9382096280841166,13.169154900812252,0.9025007999825764,5.67179932027424,-0.999907677275668,0.0009132555320116207,0.013557392430400906,0.8252471796443637,0.734437747441728,449.86288836390787,397.85234129999986,16.044867281510292,8.57959361348339,0.534725121931691,11.43922754349626,0.7129524565577768,1.333306454692536,
1441951,15999C80F3,29,60.16068643511375,33.960205344538906,8.556832507140278,-100.59190196540064,-3.042822303071556,-6.59611240698897,8.862339829118184,14.504676268289074,0.8307339004059637,0.8789112341331622,8.07431420139574,0.5155570888167573,6.918518366228375,0.5864225567187717,0.5675310160893836,0.5779421517314435,0.8424941566732708,0.7592164848463675,301.5993684037209,285.22461959999987,11.129993197559171,11.394901216247964,1.0238012740876503,8.986781329218681,0.8074381690717922,0.7886668922065291,
1441952,15999C80F3,30,49.04661425861024,34.872661440354165,11.073691994518962,-111.21366892996332,1.1731439349156196,-6.901813864632064,9.089445259305792,14.435978103093408,0.7645078972660041,0.8432600852224492,9.30563880717126,0.5520050172981572,7.7594212022052655,0.4499006374798669,0.4294323422231392,0.783056370798398,0.8341126051013301,0.7914348088511174,352.17104495416976,355.33925639999984,9.791638643698489,12.08457469079147,1.2341728622275725,12.49659791315048,1.2762519500444185,1.0340949708948364,
